repair_rank,node_id,node_role,is_core,role_priority,damage_score,structural_score,core_score,repair_priority_score,factorial_rank,rank_contribution,cumulative_contribution,remaining_core_after_repair,top_predicted_labels
1,172.16.30.30,suspected_compromised_host,True,1.0,0.9144410905731547,0.8000965250965251,0.8687032643825028,0.9158005675033933,1,0.9158005675033933,0.9158005675033933,1,Bot:35; Infiltration:30; DDoS:22
2,172.16.30.31,suspected_compromised_host,True,1.0,0.8173501647336453,0.5620656370656372,0.715236353666442,0.8174564751598674,2,0.4087282375799337,1.324528805083327,0,DDoS:20; SSH-Patator:19; PortScan:16
3,172.16.10.11,suspected_attacker,False,0.85,0.5411274457758461,0.7214285714285715,0.6132478960369363,0.5243081211674814,6,0.0873846868612469,1.411913491944574,0,PortScan:43; DoS Hulk:40; DoS slowloris:6
4,172.16.10.10,suspected_attacker,False,0.85,0.5410004566225382,0.5764478764478764,0.5551794245526734,0.4880121517609844,24,0.020333839656707684,1.4322473316012816,0,DDoS:82; PortScan:25; DoS slowloris:5
5,172.16.20.20,suspected_victim,False,0.75,0.46976015289671863,0.5,0.4818560917380312,0.42540406115868745,120,0.003545033842989062,1.4357923654442706,0,DoS Slowhttptest:45; DoS slowloris:24; DDoS:20
6,172.16.20.21,suspected_victim,False,0.75,0.4216024237669318,0.2,0.3329614542601591,0.33114096950677274,720,0.000459918013203851,1.4362522834574745,0,DDoS:40; DoS slowloris:20; PortScan:17
